date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:00:52	2257/2257	---M--	200	added ('OK')	text/xml	date:Thu,%2007%20Mar%202019%2013:00:52%20GMT	http://localhost/gst/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%2Fgst%2F114%2F&format=xml	C:/My%20Web%20Sites/GreatStarTech/localhost/gst/wp-json/oembed/1.0/embed2a83	(from http://localhost/gst/114/)
13:00:53	833114/833114	---M--	200	added ('OK')	image/jpeg	etag:%22cb65a-55af9cf7d3880%22	http://localhost/gst/wp-content/uploads/2017/10/dynamic_dance_pg2.jpg	C:/My%20Web%20Sites/GreatStarTech/localhost/gst/wp-content/uploads/2017/10/dynamic_dance_pg2.jpg	(from http://localhost/gst/our-work/)
13:00:53	2171/2171	---M--	200	added ('OK')	application/json	date:Thu,%2007%20Mar%202019%2013:00:52%20GMT	http://localhost/gst/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%2Fgst%2F124%2F	C:/My%20Web%20Sites/GreatStarTech/localhost/gst/wp-json/oembed/1.0/embed08cf.json	(from http://localhost/gst/124/)
13:00:53	723/723	---M--	200	added ('OK')	application/rss+xml	etag:%22fa2cefbb42d434a50ddea4f20195c95b%22	http://localhost/gst/124/feed/	C:/My%20Web%20Sites/GreatStarTech/localhost/gst/124/feed/index.html	(from http://localhost/gst/124/)
13:00:53	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2007%20Mar%202019%2013:00:53%20GMT	http://localhost/gst/?p=124	C:/My%20Web%20Sites/GreatStarTech/localhost/gst/indexd4a6.html	(from http://localhost/gst/124/)
13:00:54	2257/2257	---M--	200	added ('OK')	text/xml	date:Thu,%2007%20Mar%202019%2013:00:53%20GMT	http://localhost/gst/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%2Fgst%2F124%2F&format=xml	C:/My%20Web%20Sites/GreatStarTech/localhost/gst/wp-json/oembed/1.0/embed3f70	(from http://localhost/gst/124/)
13:00:55	1972/1972	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%227b4-58346e797fc00%22	http://localhost/gst/wp-content/plugins/portfolio-wp/css/lightgallery/fonts/Slide-icons.eot	C:/My%20Web%20Sites/GreatStarTech/localhost/gst/wp-content/plugins/portfolio-wp/css/lightgallery/fonts/Slide-icons.eot	(from http://localhost/gst/wp-content/plugins/portfolio-wp/css/lightgallery/lightgallery.css)
13:00:55	4178/4178	---M--	200	added ('OK')	image/gif	etag:%221052-58346e797fc00%22	http://localhost/gst/wp-content/plugins/portfolio-wp/css/lightgallery/images/loading.gif	C:/My%20Web%20Sites/GreatStarTech/localhost/gst/wp-content/plugins/portfolio-wp/css/lightgallery/images/loading.gif	(from http://localhost/gst/wp-content/plugins/portfolio-wp/css/lightgallery/lightgallery.css)
13:00:56	2270/2270	---M--	200	added ('OK')	application/json	date:Thu,%2007%20Mar%202019%2013:00:55%20GMT	http://localhost/gst/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%2Fgst%2Fwordpress-development%2F	C:/My%20Web%20Sites/GreatStarTech/localhost/gst/wp-json/oembed/1.0/embed33c9.json	(from http://localhost/gst/wordpress-development/)
13:00:56	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2007%20Mar%202019%2013:00:56%20GMT	http://localhost/gst/?p=138	C:/My%20Web%20Sites/GreatStarTech/localhost/gst/index1a26.html	(from http://localhost/gst/wordpress-development/)
